Adventist Medical Center, Hanford;36.3236205,-119.6672586
Community Hospital of San Bernardino;34.1310107,-117.3218055
Community Hospital of San Bernardino;34.1310107,-117.3218055
Community Hospital of The Monterey Peninsula, Monterey;36.5788923,-121.9130435
Community Hospital of The Monterey Peninsula, Monterey;36.5788923,-121.9130435
Community Hospital of The Monterey Peninsula, Monterey;36.5788923,-121.9130435
Community Memorial Hospital, San Buenaventura, Ventura;34.2746763,-119.2582901
Community Memorial Hospital, San Buenaventura, Ventura;34.2746763,-119.2582901
Community Memorial Hospital, San Buenaventura, Ventura;34.2746763,-119.2582901
Community Memorial Hospital, San Buenaventura, Ventura;34.2746763,-119.2582901
Community Regional Medical Center, Fresno;36.7419972,-119.7842443
Community Regional Medical Center, Fresno;36.7419972,-119.7842443
Community Regional Medical Center, Fresno;36.7419972,-119.7842443
Community Regional Medical Center, Fresno;36.7419972,-119.7842443
Community Regional Medical Center, Fresno;36.7419972,-119.7842443
Community Regional Medical Center, Fresno;36.7419972,-119.7842443
Contra Costa Regional Medical Center, Martinez;38.006546,-122.13312
Contra Costa Regional Medical Center, Martinez;38.006546,-122.13312
Contra Costa Regional Medical Center, Martinez;38.006546,-122.13312
Contra Costa Regional Medical Center, Martinez;38.006546,-122.13312
Contra Costa Regional Medical Center, Martinez;38.006546,-122.13312
Corona Regional Medical Center, Campus #1;,
Corona Regional Medical Center, Campus #1;,
Corona Regional Medical Center, Campus #1;,
Dameron Hospital, Stockton;37.961252,-121.301035
Dameron Hospital, Stockton;37.961252,-121.301035
Dameron Hospital, Stockton;37.961252,-121.301035
Delano Regional Medical Center;35.7622429,-119.2397059
Delano Regional Medical Center;35.7622429,-119.2397059
Desert Regional Medical Center, Palm Springs;33.8385999,-116.5429687
Desert Regional Medical Center, Palm Springs;33.8385999,-116.5429687
Desert Regional Medical Center, Palm Springs;33.8385999,-116.5429687
Desert Regional Medical Center, Palm Springs;33.8385999,-116.5429687
Desert Regional Medical Center, Palm Springs;33.8385999,-116.5429687
Desert Valley Hospital, Victorville;34.4720869,-117.2978063
Desert Valley Hospital, Victorville;34.4720869,-117.2978063
Doctors Hospital of Manteca;37.801324,-121.196902
Doctors Hospital of West Covina, Inc, West Covina;34.0686208,-117.9389526
Doctors Medical Center, Modesto;37.6651781,-120.9972864
Doctors Medical Center, Modesto;37.6651781,-120.9972864
Doctors Medical Center, Modesto;37.6651781,-120.9972864
Doctors Medical Center, Modesto;37.6651781,-120.9972864
Doctors Medical Center, Modesto;37.6651781,-120.9972864
Doctors Medical Center, San Pablo;37.9534475,-122.3368453
Doctors Medical Center, San Pablo;37.9534475,-122.3368453
Doctors Medical Center, San Pablo;37.9534475,-122.3368453
Dominican Hospital;36.9899905,-121.9835678
Dominican Hospital;36.9899905,-121.9835678
Dominican Hospital;36.9899905,-121.9835678
Dominican Hospital;36.9899905,-121.9835678
Dominican Hospital;36.9899905,-121.9835678
Downey Regional Medical Center;33.935296,-118.130298
Downey Regional Medical Center;33.935296,-118.130298
Earl & Loraine Miller Children's Hospital, Long Beach;40.3390288,-75.7022567
Earl & Loraine Miller Children's Hospital, Long Beach;40.3390288,-75.7022567
East Los Angeles Doctors Hospital, Los Angeles;34.0232655,-118.1844902
East Los Angeles Doctors Hospital, Los Angeles;34.0232655,-118.1844902
East Valley Hospital Medical Center, Glendora;34.127379,-117.8649162
Eastern Plumas Health Care, Portola;39.8104567,-120.4691034
Eden Medical Center, Castro Valley;37.6972933,-122.0870161
Eden Medical Center, Castro Valley;37.6972933,-122.0870161
Eden Medical Center, Castro Valley;37.6972933,-122.0870161
Eisenhower Medical Center, Rancho Mirage;33.763242,-116.40598
Eisenhower Medical Center, Rancho Mirage;33.763242,-116.40598
Eisenhower Medical Center, Rancho Mirage;33.763242,-116.40598
El Camino Hospital, Los Gatos;37.2629915,-121.9671801
El Camino Hospital, Los Gatos;37.2629915,-121.9671801
El Camino Hospital, Los Gatos;37.2629915,-121.9671801
El Camino Hospital, Los Gatos;37.2629915,-121.9671801
El Camino Hospital, Mountain View;37.3688889,-122.0799438
El Camino Hospital, Mountain View;37.3688889,-122.0799438
El Camino Hospital, Mountain View;,
El Centro Regional Medical Center;,
El Centro Regional Medical Center;,
Emanuel Medical Center Inc, Turlock;37.4946568,-120.8465941
Emanuel Medical Center Inc, Turlock;37.4946568,-120.8465941
Emanuel Medical Center Inc, Turlock;37.4946568,-120.8465941
Encino Hospital Medical Center, Encino;34.1575077,-118.4865788
Encino Hospital Medical Center, Encino;34.1575077,-118.4865788
Encino Hospital Medical Center, Encino;34.1575077,-118.4865788
Enloe Medical Center-Cohasset, Chico;,
Enloe Medical Center-Cohasset, Chico;,
Enloe Medical Center-Cohasset, Chico;,
Enloe Medical Center-Cohasset, Chico;,
Fairchild Medical Center, Yreka;41.7196976,-122.6459224
Fairview Developmental Center, Costa Mesa;33.6627197,-117.9250072
Fallbrook Hospital District;33.3764196,-117.2511466
Feather River Hospital, Paradise;39.7571986,-121.5701798
Feather River Hospital, Paradise;39.7571986,-121.5701798
Feather River Hospital, Paradise;39.7571986,-121.5701798
Foothill Presbyterian Hospital-Johnston Memorial, Glendora;34.1361187,-117.865339
Foothill Presbyterian Hospital-Johnston Memorial, Glendora;34.1361187,-117.865339
Foothill Presbyterian Hospital-Johnston Memorial, Glendora;34.1361187,-117.865339
Fountain Valley Regional Hospital & Medical Center;33.7150177,-117.9358913
Fountain Valley Regional Hospital & Medical Center;33.7150177,-117.9358913
Fountain Valley Regional Hospital & Medical Center;33.7150177,-117.9358913
Fountain Valley Regional Hospital & Medical Center;33.7150177,-117.9358913
Fountain Valley Regional Hospital & Medical Center;33.7150177,-117.9358913
Frank R. Howard Memorial Hospital, Willits;39.390485,-123.339304
Fremont Medical Center, Yuba City;39.142825,-121.6180655
Fremont Medical Center, Yuba City;39.142825,-121.6180655
Fremont Medical Center, Yuba City;39.142825,-121.6180655
French Hospital Medical Center, San Luis Obispo;35.2779642,-120.651022
French Hospital Medical Center, San Luis Obispo;35.2779642,-120.651022
Fresno Heart and Surgical Hospital;36.859898,-119.788483
Fresno Heart and Surgical Hospital;36.859898,-119.788483
Fresno Surgical Hospital;36.8249594,-119.7818579
Garden Grove Hospital and Medical Center;33.7755744,-117.9135493
Garden Grove Hospital and Medical Center;33.7755744,-117.9135493
Garfield Medical Center, Monterey Park;34.0680184,-118.123606
Garfield Medical Center, Monterey Park;34.0680184,-118.123606
Garfield Medical Center, Monterey Park;34.0680184,-118.123606
Garfield Medical Center, Monterey Park;34.0680184,-118.123606
George L. Mee Memorial Hospital, King City;36.2059809,-121.132912
George L. Mee Memorial Hospital, King City;36.2059809,-121.132912
Glendale Adventist Medical Center;34.1517095,-118.2306484
Glendale Adventist Medical Center;34.1517095,-118.2306484
Glendale Adventist Medical Center;34.1517095,-118.2306484
Glendale Adventist Medical Center;34.1517095,-118.2306484
Glendale Adventist Medical Center;34.1517095,-118.2306484
Glendale Adventist Medical Center;34.1517095,-118.2306484
Glendale Memorial Hospital and Health Center;34.1277,-118.257631
Glendale Memorial Hospital and Health Center;34.1277,-118.257631
Glendale Memorial Hospital and Health Center;34.1277,-118.257631
Glenn Medical Center, Willows;39.5214377,-122.2083033
Goleta Valley Cottage Hospital, Santa Barbara;,
Good Samaritan Hospital, Los Angeles;,
Good Samaritan Hospital, Los Angeles;34.0546018,-118.265003
Good Samaritan Hospital, Los Angeles;34.0546018,-118.265003
Good Samaritan Hospital, San Jose;37.2519461,-121.9464612
Good Samaritan Hospital, San Jose;37.2519461,-121.9464612
Good Samaritan Hospital, San Jose;37.2519461,-121.9464612
Good Samaritan Hospital, San Jose;37.2519461,-121.9464612
Good Samaritan Hospital, San Jose;37.2519461,-121.9464612
Greater El Monte Community Hospital, South El Monte;34.0481322,-118.0434215
Grossmont Hospital, La Mesa;32.7798314,-117.0065912
Grossmont Hospital, La Mesa;32.7798314,-117.0065912
Grossmont Hospital, La Mesa;32.7798314,-117.0065912
Grossmont Hospital, La Mesa;32.7798314,-117.0065912
Hazel Hawkins Memorial Hospital, Hollister;36.8350033,-121.3863736
Healdsburg District Hospital;38.6271662,-122.8644242
Healthbridge Children's Hospital, Orange;33.782628,-117.8339027
Healthsouth Bakersfield Rehabilitation Hospital;35.3672715,-119.0576214
Healthsouth Tustin Rehabilitation Hospital;33.7475038,-117.8309733
Hemet Valley Medical Center;33.74965,-116.9599716
Hemet Valley Medical Center;33.74965,-116.9599716
Hemet Valley Medical Center;33.74965,-116.9599716
Henry Mayo Newhall Memorial Hospital, Valencia;34.3975523,-118.553301
Henry Mayo Newhall Memorial Hospital, Valencia;34.3975523,-118.553301
Hi-Desert Medical Center, Joshua Tree;34.1316697,-116.2751238
Hoag Memorial Hospital Presbyterian, Newport Beach;33.6189101,-117.9289469
Hoag Memorial Hospital Presbyterian, Newport Beach;33.6189101,-117.9289469
Hoag Memorial Hospital Presbyterian, Newport Beach;33.6189101,-117.9289469
Hoag Memorial Hospital Presbyterian, Newport Beach;33.6189101,-117.9289469
Hoag Memorial Hospital Presbyterian, Newport Beach;33.6189101,-117.9289469
Hoag Orthopedic Hospitalital;,
Hollywood Presbyterian Medical Center, Los Angeles;34.096443,-118.2910796
Hollywood Presbyterian Medical Center, Los Angeles;34.096443,-118.2910796
Hollywood Presbyterian Medical Center, Los Angeles;34.096443,-118.2910796
Hollywood Presbyterian Medical Center, Los Angeles;34.096443,-118.2910796
Huntington Beach Hospital;33.703762,-117.987756
Huntington Beach Hospital;33.703762,-117.987756
Huntington Beach Hospital;33.703762,-117.987756
Huntington Memorial Hospital, Pasadena;34.1335636,-118.1524932
Huntington Memorial Hospital, Pasadena;34.1335636,-118.1524932
Huntington Memorial Hospital, Pasadena;34.1335636,-118.1524932
Huntington Memorial Hospital, Pasadena;34.1335636,-118.1524932
Huntington Memorial Hospital, Pasadena;34.1335636,-118.1524932
Huntington Memorial Hospital, Pasadena;34.1335636,-118.1524932
Huntington Memorial Hospital, Pasadena;34.1335636,-118.1524932
John C. Fremont Healthcare District, Mariposa;37.5002408,-119.9774861
John D Klarich Memorial Hospital, CSP-Corcoran;,
John F. Kennedy Memorial Hospital, Indio;33.706966,-116.235284
John F. Kennedy Memorial Hospital, Indio;33.706966,-116.235284
John Muir Medical Center, Concord;37.9836233,-122.0329056
John Muir Medical Center, Concord;37.9836233,-122.0329056
John Muir Medical Center, Concord;37.9836233,-122.0329056
John Muir Medical Center, Walnut Creek;37.913461,-122.041304
John Muir Medical Center, Walnut Creek;37.913461,-122.041304
John Muir Medical Center, Walnut Creek;37.913461,-122.041304
John Muir Medical Center, Walnut Creek;37.913461,-122.041304
John Muir Medical Center, Walnut Creek;37.913461,-122.041304
John Muir Medical Center, Walnut Creek;37.913461,-122.041304
John Muir Medical Center, Walnut Creek;37.913461,-122.041304
Kaiser Foundation Hospital & Rehab. Center, Vallejo;37.798278,-121.2459284
Kaiser Foundation Hospital & Rehab. Center, Vallejo;37.798278,-121.2459284
Kaiser Foundation Hospital & Rehab. Center, Vallejo;37.798278,-121.2459284
Kaiser Foundation Hospital & Rehab. Center, Vallejo;37.798278,-121.2459284
Kaiser Foundation Hospital South Bay, Harbor City;33.7906551,-118.2965084
Kaiser Foundation Hospital South Bay, Harbor City;33.7906551,-118.2965084
Kaiser Foundation Hospital South Bay, Harbor City;33.7906551,-118.2965084
Kaiser Foundation Hospital, Anaheim Medical Center;,
Kaiser Foundation Hospital, Anaheim Medical Center;,
Kaiser Foundation Hospital, Anaheim Medical Center;,
Kaiser Foundation Hospital, Anaheim Medical Center;,
Kaiser Foundation Hospital, Antioch;,
Kaiser Foundation Hospital, Antioch;,
Kaiser Foundation Hospital, Baldwin Park;34.0852868,-117.9608978
Kaiser Foundation Hospital, Baldwin Park;34.0852868,-117.9608978
Kaiser Foundation Hospital, Baldwin Park;34.0852868,-117.9608978
Kaiser Foundation Hospital, Baldwin Park;34.0852868,-117.9608978
Kaiser Foundation Hospital, Downey, Bellflower;33.8816818,-118.1170117
Kaiser Foundation Hospital, Downey, Bellflower;33.8816818,-118.1170117
Kaiser Foundation Hospital, Downey, Bellflower;33.8816818,-118.1170117
Kaiser Foundation Hospital, Downey, Bellflower;33.8816818,-118.1170117
Kaiser Foundation Hospital, Fontana;,
Kaiser Foundation Hospital, Fontana;,
Kaiser Foundation Hospital, Fontana;,
Kaiser Foundation Hospital, Fontana;,
Kaiser Foundation Hospital, Fontana;,
Kaiser Foundation Hospital, Fresno;36.7468422,-119.7725868
Kaiser Foundation Hospital, Fresno;36.7468422,-119.7725868
Kaiser Foundation Hospital, Fresno;36.7468422,-119.7725868
Kaiser Foundation Hospital, Hayward/Fremont;,
Kaiser Foundation Hospital, Hayward/Fremont;,
Kaiser Foundation Hospital, Hayward/Fremont;,
Kaiser Foundation Hospital, Irvine;33.6839473,-117.7946942
Kaiser Foundation Hospital, Irvine;33.6839473,-117.7946942
Kaiser Foundation Hospital, Irvine;33.6839473,-117.7946942
Kaiser Foundation Hospital, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, Manteca;37.798278,-121.2459284
Kaiser Foundation Hospital, Manteca;37.798278,-121.2459284
Kaiser Foundation Hospital, Moreno Valley;33.9424658,-117.2296717
Kaiser Foundation Hospital, Moreno Valley;33.9424658,-117.2296717
Kaiser Foundation Hospital, Oakland/Richmond;,
Kaiser Foundation Hospital, Oakland/Richmond;,
Kaiser Foundation Hospital, Oakland/Richmond;37.5407246,-77.4360481
Kaiser Foundation Hospital, Oakland/Richmond;,
Kaiser Foundation Hospital, Oakland/Richmond;37.5407246,-77.4360481
Kaiser Foundation Hospital, Oakland/Richmond;37.5407246,-77.4360481
Kaiser Foundation Hospital, Ontario;34.0633443,-117.6508876
Kaiser Foundation Hospital, Ontario;34.0633443,-117.6508876
Kaiser Foundation Hospital, Panorama City;34.221223,-118.4304576
Kaiser Foundation Hospital, Panorama City;34.221223,-118.4304576
Kaiser Foundation Hospital, Panorama City;34.221223,-118.4304576
Kaiser Foundation Hospital, Redwood City;37.4852152,-122.2363548
Kaiser Foundation Hospital, Redwood City;37.4852152,-122.2363548
Kaiser Foundation Hospital, Redwood City;37.4852152,-122.2363548
Kaiser Foundation Hospital, Riverside;33.9533487,-117.3961564
Kaiser Foundation Hospital, Riverside;33.9533487,-117.3961564
Kaiser Foundation Hospital, Roseville;38.7521235,-121.2880059
Kaiser Foundation Hospital, Roseville;38.7521235,-121.2880059
Kaiser Foundation Hospital, Roseville;38.7521235,-121.2880059
Kaiser Foundation Hospital, Sacramento;38.6013691,-121.3930653
Kaiser Foundation Hospital, Sacramento;38.6013691,-121.3930653
Kaiser Foundation Hospital, San Diego;32.7917809,-117.0949344
Kaiser Foundation Hospital, San Diego;32.7917809,-117.0949344
Kaiser Foundation Hospital, San Diego;32.7917809,-117.0949344
Kaiser Foundation Hospital, San Diego;32.7917809,-117.0949344
Kaiser Foundation Hospital, San Diego;32.7917809,-117.0949344
Kaiser Foundation Hospital, San Francisco;37.7749295,-122.4194155
Kaiser Foundation Hospital, San Francisco;37.7749295,-122.4194155
Kaiser Foundation Hospital, San Francisco;37.7749295,-122.4194155
Kaiser Foundation Hospital, San Jose;37.2401133,-121.8010205
Kaiser Foundation Hospital, San Jose;37.2401133,-121.8010205
Kaiser Foundation Hospital, San Jose;37.2401133,-121.8010205
Kaiser Foundation Hospital, San Jose;37.2401133,-121.8010205
Kaiser Foundation Hospital, San Rafael;38.0042089,-122.5552764
Kaiser Foundation Hospital, Santa Clara;37.2401133,-121.8010205
Kaiser Foundation Hospital, Santa Clara;37.2401133,-121.8010205
Kaiser Foundation Hospital, Santa Clara;37.2401133,-121.8010205
Kaiser Foundation Hospital, Santa Clara;37.2401133,-121.8010205
Kaiser Foundation Hospital, Santa Clara;37.2401133,-121.8010205
Kaiser Foundation Hospital, Santa Clara;37.2401133,-121.8010205
Kaiser Foundation Hospital, Santa Rosa;38.471485,-122.726399
Kaiser Foundation Hospital, Santa Rosa;38.471485,-122.726399
Kaiser Foundation Hospital, Santa Rosa;38.471485,-122.726399
Kaiser Foundation Hospital, Santa Rosa;38.471485,-122.726399
Kaiser Foundation Hospital, South Sacramento;38.6013691,-121.3930653
Kaiser Foundation Hospital, South Sacramento;38.6013691,-121.3930653
Kaiser Foundation Hospital, South Sacramento;38.6013691,-121.3930653
Kaiser Foundation Hospital, South San Francisco;37.654656,-122.4077498
Kaiser Foundation Hospital, Vacaville;38.3565773,-121.9877444
Kaiser Foundation Hospital, Walnut Creek;37.891346,-122.0597065
Kaiser Foundation Hospital, Walnut Creek;37.891346,-122.0597065
Kaiser Foundation Hospital, Walnut Creek;37.891346,-122.0597065
Kaiser Foundation Hospital, Walnut Creek;37.891346,-122.0597065
Kaiser Foundation Hospital, West LA, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, West LA, Los Angeles;,
Kaiser Foundation Hospital, West LA, Los Angeles;34.0762539,-118.2556479
Kaiser Foundation Hospital, Woodland Hills;34.165357,-118.6089752
Kaiser Foundation Hospital, Woodland Hills;34.165357,-118.6089752
Kaiser Foundation Hospital, Woodland Hills;34.165357,-118.6089752
Kaiser Foundation Hospital, Woodland Hills;34.165357,-118.6089752
Kaiser Foundation Hospital, Woodland Hills;34.165357,-118.6089752
Kaweah Delta Medical Center, Visalia;36.328513,-119.293755
Kaweah Delta Medical Center, Visalia;36.328513,-119.293755
Kaweah Delta Medical Center, Visalia;36.328513,-119.293755
Kaweah Delta Medical Center, Visalia;36.328513,-119.293755
Kaweah Delta Medical Center, Visalia;36.328513,-119.293755
Kaweah Delta Medical Center, Visalia;36.328513,-119.293755
Keck Hospital of USC, Los Angeles;34.0616604,-118.2011047
Keck Hospital of USC, Los Angeles;34.0616604,-118.2011047
Keck Hospital of USC, Los Angeles;34.0616604,-118.2011047
Keck Hospital of USC, Los Angeles;34.0616604,-118.2011047
Kentfield Rehab & Specialty Hospital, Kentfield;37.9587763,-122.5518093
Kern Medical Center, Bakersfield;35.3827711,-118.9696027
Kern Medical Center, Bakersfield;35.3827711,-118.9696027
Kern Medical Center, Bakersfield;35.3827711,-118.9696027
Kern Medical Center, Bakersfield;35.3827711,-118.9696027
Kern Valley Healthcare District, Lake Isabella;35.6352245,-118.4073649
Kindred Hospital Rancho, Rancho Cucamonga;34.103959,-117.566093
Kindred Hospital Riverside, Perris;33.8125027,-117.2223269
Kindred Hospital South Bay, Gardena;33.8899991,-118.2974043
Kindred Hospital South Bay, Hawaiian Gardens;33.833545,-118.079403
Kindred Hospital, La Mirada;33.916461,-118.013302
Kindred Hospital, Los Angeles;33.989066,-118.3782245
Kindred Hospital, Ontario;34.0633443,-117.6508876
Kindred Hospital, San Diego;32.7561739,-117.1444903
Kindred Hospital, Santa Ana;33.7622847,-117.8915779
Kindred Hospital, Westminster;33.763291,-117.995189
Kindred Hospital-San Francisco Bay Area, San Leandro;37.7165442,-122.1302434
Kindred Hospital-San Gabriel Valley, West Covina;34.0686208,-117.9389526
La Palma Intercommunity Hospital;33.847533,-118.038414
LAC/Harbor-UCLA Medical Center, Torrance;33.8358492,-118.3406288
LAC/Harbor-UCLA Medical Center, Torrance;33.8358492,-118.3406288
LAC/Harbor-UCLA Medical Center, Torrance;33.8358492,-118.3406288
LAC/Harbor-UCLA Medical Center, Torrance;33.8358492,-118.3406288
LAC/Rancho Los Amigos National Rehab Center, Downey;33.9401088,-118.1331593
LAC/Rancho Los Amigos National Rehab Center, Downey;33.9401088,-118.1331593
LAC/Rancho Los Amigos National Rehab Center, Downey;33.9401088,-118.1331593
LAC/Rancho Los Amigos National Rehab Center, Downey;33.9401088,-118.1331593
LAC+USC Medical Center, Los Angeles;34.0576864,-118.2083145
LAC+USC Medical Center, Los Angeles;34.0576864,-118.2083145
LAC+USC Medical Center, Los Angeles;34.0576864,-118.2083145
LAC+USC Medical Center, Los Angeles;34.0576864,-118.2083145
LAC+USC Medical Center, Los Angeles;34.0576864,-118.2083145
LAC+USC Medical Center, Los Angeles;,
Lakewood Regional Medical Center;33.8597525,-118.148705
Lakewood Regional Medical Center;33.8597525,-118.148705
Lanterman Developmental Center, Pomona;34.0462112,-117.810918
Lodi Memorial Hospital;38.1212585,-121.2873129
Lodi Memorial Hospital;38.1212585,-121.2873129
Lodi Memorial Hospital;38.1212585,-121.2873129
Lodi Memorial Hospital;38.1212585,-121.2873129
Loma Linda UNIV Medical Center, Loma Linda;34.0495261,-117.2641395
Loma Linda UNIV Medical Center, Loma Linda;34.0495261,-117.2641395
Loma Linda UNIV Medical Center, Loma Linda;34.0495261,-117.2641395
Loma Linda UNIV Medical Center, Loma Linda;34.0495261,-117.2641395
Loma Linda UNIV Medical Center, Loma Linda;34.0495261,-117.2641395
Loma Linda UNIV Medical Center, Loma Linda;34.0495261,-117.2641395
Loma Linda UNIV Medical Center, Loma Linda;34.0495261,-117.2641395
Loma Linda University Medical Center - Murrieta;33.614781,-117.169182
Loma Linda University Medical Center - Murrieta;33.614781,-117.169182
Loma Linda University Medical Center - Murrieta;33.614781,-117.169182
Lompoc Valley Medical Center;,
Long Beach Memorial Medical Center, Long Beach;33.807276,-118.1852539
Long Beach Memorial Medical Center, Long Beach;33.807276,-118.1852539
Long Beach Memorial Medical Center, Long Beach;33.807276,-118.1852539
Long Beach Memorial Medical Center, Long Beach;33.807276,-118.1852539
Los Alamitos Medical Center;33.8043758,-118.0671158
Los Alamitos Medical Center;33.8043758,-118.0671158
Los Alamitos Medical Center;33.8043758,-118.0671158
Los Alamitos Medical Center;33.8043758,-118.0671158
Los Angeles Co Olive View-UCLA Medical Center, Sylmar;34.3257364,-118.4457652
Los Angeles Co Olive View-UCLA Medical Center, Sylmar;34.3257364,-118.4457652
Los Angeles Co Olive View-UCLA Medical Center, Sylmar;34.3257364,-118.4457652
Los Angeles Co Olive View-UCLA Medical Center, Sylmar;34.3257364,-118.4457652
Los Angeles Community Hospital;34.0191956,-118.1866838
